Publishing Date,Headlines,Category,Structural Hierarchy Description
7/9/2006,['KSE seeks consolidation at current levels'],Market,Stock Market
7/11/2006,['KSE loses 331 points on profit-taking'],Market,Stock Market
7/13/2006,"['Sustainability questioned as KSE nears 10,000 level']",Market,Stock Market
7/14/2006,"['Energy, cement shares help KSE gain 94 points']",Market,Stock Market
7/15/2006,"['KSE remains volatile, gains 12 points']",Market,Stock Market
7/16/2006,"['Karachi stocks maintain 10,000 level']",Market,Stock Market
7/18/2006,"['SECP approves implementation of KSE-30 index', 'KSE fails to consolidate above 10,000']",Market,Stock Market
7/19/2006,"['Banking, energy scrips fuel KSE rise']",Market,Stock Market
7/20/2006,['Profit-taking restricts KSE rise'],Market,Stock Market
7/22/2006,['KSE closes positive on short covering'],Market,Stock Market
7/25/2006,['KSE extends moderate gains amid thin volumes'],Market,Stock Market
7/28/2006,"['Bulls rule KSE, index gains 87 points']",Market,Stock Market
7/29/2006,['Political instability triggers offloading at KSE'],Market,Stock Market
8/1/2006,['KSE gains 144 points in thin volume'],Market,Stock Market
8/2/2006,['KSE records modest gain despite volatility'],Market,Stock Market
8/3/2006,['Profit-taking trims gains on KSE'],Market,Stock Market
8/4/2006,"['KSE gains 113 points, breaches 10,600 level']",Market,Stock Market
8/5/2006,['KSE up 105 points on fresh flow of funds'],Market,Stock Market
8/6/2006,['Capitalisation crosses Rs3 trillion at KSE'],Market,Stock Market
8/8/2006,['Oil sector helps KSE gain 74 points'],Market,Stock Market
8/9/2006,['Karachi stocks witness modest decline'],Market,Stock Market
8/10/2006,"['KSE suffers technical correction, loses 173 points']",Market,Stock Market
8/11/2006,['Panic selling continues at KSE'],Market,Stock Market
8/13/2006,"['Bears rule KSE, capitalisation falls below Rs3 trillion']",Market,Stock Market
8/16/2006,['Blue chip’s payout fails to lift KSE'],Market,Stock Market
8/17/2006,['KSE gains 259 points on across the board buying'],Market,Stock Market
8/18/2006,['KSE sees mild correction on healthy volume'],Market,Stock Market
8/19/2006,"['Volatility rules KSE, index records modest gain']",Market,Stock Market
8/20/2006,['KSE consolidates ahead of rollover week'],Market,Stock Market
8/22/2006,['KSE index down on selling pressure'],Market,Stock Market
8/23/2006,['KSE loses 260 points on negative sentiments'],Market,Stock Market
8/24/2006,['Volatile KSE closes with marginal gains'],Market,Stock Market
8/25/2006,['Panic selling pushes KSE index down'],Market,Stock Market
8/26/2006,['KSE breaches four barriers in reverse gear'],Market,Stock Market
8/29/2006,['KSE gains 291 points in volatile session'],Market,Stock Market
8/30/2006,['KSE closes 66 points up on short-covering'],Market,Stock Market
8/31/2006,"['Karachi bourse set to launch KSE-30 index from Sept 1', '-KSE gains 143 points on buying spree']",Market,Stock Market
9/1/2006,"['Buying in pivotals keeps KSE above 10,000 mark']",Market,Stock Market
9/5/2006,['Buying in cement averts big losses at KSE'],Market,Stock Market
9/8/2006,"['KSE breaches 10,000 barrier in reverse gear']",Market,Stock Market
9/10/2006,['KSE shows lacklustre performance'],Market,Stock Market
9/12/2006,['KSE sheds 72 points amid dull activity'],Market,Stock Market
9/13/2006,"['Rise in CFS cap spurs KSE, index gains 264 points']",Market,Stock Market
9/15/2006,['Karachi stocks record modest gain'],Market,Stock Market
9/16/2006,"['KSE sheds 44 points amid low trading', 'Canadian business team visits KSE']",Market,Stock Market
9/17/2006,['KSE index moves both ways'],Market,Stock Market
9/19/2006,"['-Bears rule KSE, index loses 108 points', 'Cell set up at KSE for demutualisation']",Market,Stock Market
9/20/2006,"['KSE big fish vying to arm speculators', 'KSE sees cautious buying at support levels']",Market,Stock Market
9/21/2006,['KSE gains 124 points as bulls continue to drive'],Market,Stock Market
9/23/2006,['KSE-100 index gains 152 points'],Market,Stock Market
9/24/2006,['Karachi stocks gain 322 points'],Market,Stock Market
9/26/2006,['KSE suffers technical correction'],Market,Stock Market
9/27/2006,"['-KSE moves both ways, gains 53 points']",Market,Stock Market
9/28/2006,"['Oil, banking scrips push KSE up 81 points']",Market,Stock Market
9/29/2006,"['KSE breaches 10,500 mark, gains 142 points']",Market,Stock Market
9/30/2006,['KSE witnesses modest technical correction'],Market,Stock Market
10/3/2006,"['KSE-100 index crosses 10,600 mark']",Market,Stock Market
10/4/2006,"['Faithful extend positions on KSE in holy month', 'KSE moves both ways, loses 23 points']",Market,Stock Market
10/5/2006,['KSE gains 151 points on buying at dips'],Market,Stock Market
10/6/2006,['KSE capitalisation crosses Rs3 trillion mark'],Market,Stock Market
10/8/2006,['KSE may propose changes in netting rules'],Market,Stock Market
10/10/2006,"['KSE index fails to maintain 11,000 level']",Market,Stock Market
10/11/2006,"['KSE remains volatile, gains 17 points']",Market,Stock Market
10/12/2006,['KSE undergoes technical correction'],Market,Stock Market
10/13/2006,['Karachi stocks remain highly volatile'],Market,Stock Market
10/14/2006,"['Banking stocks take KSE beyond 10,900 level']",Market,Stock Market
10/15/2006,"['KSE-100 consolidates above 10,900 level amid low volumes']",Market,Stock Market
10/17/2006,['Range-bound KSE sees modest correction'],Market,Stock Market
10/18/2006,['KSE holidays'],Market,Stock Market
10/19/2006,"['KSE 100-share index touches 10,400 mark']",Market,Stock Market
10/20/2006,"['KSE-100 index breaches 11,500 barrier']",Market,Stock Market
10/22/2006,"['KSE breaks 11,500 resistance in Ramazan’s last week']",Market,Stock Market
10/24/2006,"['KSE-100 index gains 1,260 points during Ramazan']",Market,Stock Market
10/31/2006,"['KSE to be corporatized, demutualized by Dec 31']",Market,Stock Market
11/2/2006,"['KSE wants revised risk management', 'Bears dominate KSE, index loses 317 points', 'KSE announces top 25 companies']",Market,Stock Market
11/3/2006,"['KSE breaches 11,000 barrier in reverse gear']",Market,Stock Market
11/4/2006,"['Bulls return with a bang, KSE gains 301 points']",Market,Stock Market
11/5/2006,['Last day bull-run averts big losses at KSE'],Market,Stock Market
11/7/2006,"['Bears dominate KSE, index loses 234 points']",Market,Stock Market
11/8/2006,['KSE yet to decide on conversion of in-house badla'],Market,Stock Market
11/10/2006,['KSE March 2005 crisis'],Market,Stock Market
11/11/2006,"['Forensic report on KSE crisis postponed', 'KSE capitalisation falls below Rs3 trillion']",Market,Stock Market
11/12/2006,['Bears rule KSE as index sheds 507 points'],Market,Stock Market
11/14/2006,['KSE moves both ways in choppy session'],Market,Stock Market
11/15/2006,['Karachi stocks recover 125 points'],Market,Stock Market
11/17/2006,['Buying at dips adds 38 points to KSE index'],Market,Stock Market
11/18/2006,['Index suffers sudden fall after KSE notification'],Market,Stock Market
11/19/2006,"['Bears rule KSE for third consecutive week', 'KSE session for badla to CFS conversion held']",Market,Stock Market
11/21/2006,"['Bears have a field day, KSE loses 275 points']",Market,Stock Market
11/23/2006,['Short-covering helps KSE recover earlier losses'],Market,Stock Market
11/24/2006,['KSE capitalisation again crosses Rs3 trillion mark'],Market,Stock Market
11/25/2006,['KSE barely manages to close 3 points up'],Market,Stock Market
11/26/2006,['KSE gains 2pc after forensic report acquits brokers'],Market,Stock Market
11/28/2006,"['Bears take control, KSE loses 120 points']",Market,Stock Market
11/29/2006,"['KSE remains dull, index gains 12 points']",Market,Stock Market
11/30/2006,"['Bears have a field day, KSE loses 167 points']",Market,Stock Market
12/1/2006,['Short-covering in pivotals allows positive closing at KSE'],Market,Stock Market
12/5/2006,['KSE gains 28 points after revised RMS'],Market,Stock Market
12/6/2006,"['Oil sector leads rally, KSE gains 134 points']",Market,Stock Market
12/8/2006,"['KSE reverses trend, index loses 35 points', 'KSE elects directors']",Market,Stock Market
12/9/2006,"['KSE loses 81 points, trading in Callmate suspended']",Market,Stock Market
12/10/2006,['Over leveraged positions trim gains at KSE'],Market,Stock Market
12/12/2006,"['KSE moves both ways, gains 22 points']",Market,Stock Market
12/13/2006,['Upward trend continues on Karachi stocks'],Market,Stock Market
12/14/2006,"['Bears regain power, KSE loses 57 points']",Market,Stock Market
12/15/2006,"['KSE records dull session, recovers 17 points']",Market,Stock Market
12/16/2006,['Karachi stocks fall amid thin turnover'],Market,Stock Market
12/17/2006,['Volumes hit four-year low on KSE'],Market,Stock Market
12/19/2006,['KSE plunges 210 points on rollover week woes'],Market,Stock Market
12/20/2006,"['Bears have a field day, KSE loses 286 points']",Market,Stock Market
12/21/2006,['KSE recovers 126 points on institutional support'],Market,Stock Market
12/22/2006,"['KSE falls below 10,000 support level']",Market,Stock Market
12/24/2006,"['KSE falls below 10,500 & 10,000 support levels']",Market,Stock Market
12/27/2006,['Karachi stocks recover 131 points'],Market,Stock Market
12/28/2006,"['KSE holds above 10,000 despite profit-taking']",Market,Stock Market
12/30/2006,['KSE loses 18 points on last trading day of year'],Market,Stock Market
12/31/2006,"['KSE maintains 10,000 level by year-end']",Market,Stock Market
1/1/2007,['KSE up 167 points on fresh buying'],Market,Stock Market
1/2/2007,['KSE continues 2007 journey in upward direction'],Market,Stock Market
1/4/2007,['KSE starts new year with modest gain'],Market,Stock Market
1/5/2007,"['Bulls remain on drive, KSE gains 118 points', 'KSE to be more profitable in 2007, says report']",Market,Stock Market
1/6/2007,"['KSE demutualization', 'KSE reverses trend after two days of gains']",Market,Stock Market
1/7/2007,"['Buying in banking stocks keeps KSE in green', 'Non-member directors of KSE']",Market,Stock Market
1/10/2007,"['KSE extends gains, index crosses 10,400 level']",Market,Stock Market
1/11/2007,['Karachi stocks fall by 31 points'],Market,Stock Market
1/12/2007,['Range-bound KSE loses 15 points'],Market,Stock Market
1/13/2007,['Karachi stocks gain 66 points'],Market,Stock Market
1/14/2007,"['Buoyant KSE closes above 10,400 points']",Market,Stock Market
1/16/2007,['Energy shares boost Karachi stocks'],Market,Stock Market
1/17/2007,"['Selective buying pushes KSE index up', 'KSE saw uncertainty in 2006']",Market,Stock Market
1/18/2007,"['KSE index breaches 10,600 barrier']",Market,Stock Market
1/19/2007,['KSE continues upward journey'],Market,Stock Market
1/20/2007,['KSE ends flat after see-saw session'],Market,Stock Market
1/21/2007,['KSE continues 2007 journey in upward direction'],Market,Stock Market
1/23/2007,"['Karachi stocks close above 10,700 level']",Market,Stock Market
1/24/2007,"['Late selling wipes out earlier gains at KSE', 'Deutsche Bank to advise KSE for demutualisation']",Market,Stock Market
1/25/2007,"['KSE breaches 10,800 level on institutional buying']",Market,Stock Market
1/26/2007,"['KSE joins SAFE to launch South Asian Index', 'KSE-100 index breaches 11,000 barrier']",Market,Stock Market
1/27/2007,['KSE gains 74 points on selective buying'],Market,Stock Market
2/1/2007,['KSE up 167 points on fresh buying'],Market,Stock Market
2/2/2007,['KSE records nine-month high turnover'],Market,Stock Market
2/3/2007,['KSE gains 241 points as market consumes Rs51bn of CFS'],Market,Stock Market
2/4/2007,"['KSE at nine-month high, correction expected']",Market,Stock Market
2/7/2007,['Profit-taking lops earlier gains at KSE'],Market,Stock Market
2/8/2007,['Mild correction invites robust buying at KSE'],Market,Stock Market
2/9/2007,['Bullish onslaught continues unabated on KSE'],Market,Stock Market
2/11/2007,['Analysts suggest caution as KSE touches 9-month high'],Market,Stock Market
2/13/2007,['NA debates KSE scam'],Market,Stock Market
2/14/2007,['KSE gains 14 points'],Market,Stock Market
2/15/2007,['KSE recomposes 30-index'],Market,Stock Market
2/16/2007,['Removal of MD: heated debate in KSE board meeting'],Market,Stock Market
2/17/2007,['KSE loses 88 points amid thin turnover'],Market,Stock Market
2/18/2007,['KSE falls 465 points amid thin turnover'],Market,Stock Market
2/20/2007,"['Karachi stocks breach 11,500 barrier']",Market,Stock Market
2/21/2007,['KSE fails to sustain overnight gains'],Market,Stock Market
2/22/2007,['Karachi stocks recover 57 points'],Market,Stock Market
2/23/2007,['KSE gains 22 points on banking sector support'],Market,Stock Market
2/24/2007,['Rollover week at KSE ends in green'],Market,Stock Market
2/25/2007,['KSE recovers 228 points despite rollover week'],Market,Stock Market
2/27/2007,"['Panic selling on KSE, index loses 214 points']",Market,Stock Market
2/28/2007,"['KSE seeks brokerage houses’ data', 'Karachi stocks lose 18 points']",Market,Stock Market
3/1/2007,"['KSE body formed to resolve issues with SECP', 'Bearish spell continues, KSE loses 196 points']",Market,Stock Market
3/2/2007,['Karachi stocks recover 28 points'],Market,Stock Market
3/3/2007,"['How SECP, KSE drowned differences']",Market,Stock Market
3/4/2007,['KSE loses 474 points during week'],Market,Stock Market
3/8/2007,['Karachi stocks recover 222 points'],Market,Stock Market
3/9/2007,"['KSE continues forward journey, gains 138 points']",Market,Stock Market
3/11/2007,"['KSE accepts CLN regime, gains 279 points']",Market,Stock Market
3/13/2007,['Karachi stocks witness modest fall'],Market,Stock Market
3/14/2007,['Political situation keeps KSE down'],Market,Stock Market
3/15/2007,"['Bears overpower bulls, KSE loses 128 points']",Market,Stock Market
3/16/2007,['Karachi stocks recover 34 points'],Market,Stock Market
3/17/2007,['Karachi stocks extend gains'],Market,Stock Market
3/18/2007,['Volatile KSE sheds 39 points during week'],Market,Stock Market
3/21/2007,"['Bulls dominate, KSE recovers 190 points']",Market,Stock Market
3/22/2007,['Profit-taking results in modest fall on KSE'],Market,Stock Market
3/25/2007,['KSE dips as investors offload CFS positions'],Market,Stock Market
3/27/2007,['KSE witnesses modest gain amid thin activity'],Market,Stock Market
3/28/2007,"['KSE moves both ways, closes 26 points up']",Market,Stock Market
3/29/2007,['KSE undergoes technical correction'],Market,Stock Market
3/30/2007,['Buying at dips averts big losses on KSE'],Market,Stock Market
3/31/2007,['Karachi stocks gain 50 points'],Market,Stock Market
4/1/2007,['KSE sees another dull week with thin turnover'],Market,Stock Market
4/3/2007,['KSE witnesses modest gain amid thin turnover'],Market,Stock Market
4/4/2007,['SECP leniency helps KSE gain 156 points'],Market,Stock Market
4/6/2007,"['Energy-led rally pushes KSE index above 11,500 points']",Market,Stock Market
4/7/2007,"['KSE breaches 11,600 barrier']",Market,Stock Market
4/8/2007,['KSE recovers 384 points during week'],Market,Stock Market
4/10/2007,['Bulls continue forward journey on KSE'],Market,Stock Market
4/11/2007,"['KSE-100 index breaches 11,700 barrier']",Market,Stock Market
4/12/2007,"['KSE continues bullish mood, gains 121 points']",Market,Stock Market
4/13/2007,"['Top officials to stay on at KSE', 'KSE breaches 11,900 barrier with modest gain']",Market,Stock Market
4/14/2007,"['KSE on way to cross 12,000 level', 'Dubai Financial Market eyes investment in KSE']",Market,Stock Market
4/15/2007,"['KSE 22 points shy of crossing 12,000 mark']",Market,Stock Market
4/17/2007,"['Karachi stocks finally cross 12,000-point level']",Market,Stock Market
4/18/2007,"['KSE maintains 12,000 level despite fall']",Market,Stock Market
4/19/2007,['KSE at second highest record level'],Market,Stock Market
4/20/2007,['Profit-taking causes modest decline on KSE'],Market,Stock Market
4/21/2007,['KSE consolidates with mild correction'],Market,Stock Market
4/22/2007,"['KSE maintains 12,000 level ahead of settlement week']",Market,Stock Market
4/24/2007,['Bearish forces active on KSE'],Market,Stock Market
4/25/2007,['KSE rebounds on institutional buying'],Market,Stock Market
4/27/2007,['Foreign investment fuels Karachi stocks rally'],Market,Stock Market
4/28/2007,['Profit taking lops off early gains at KSE'],Market,Stock Market
5/1/2007,['Foreign buying pushes KSE to record highs'],Market,Stock Market
5/3/2007,"['KSE managing director resigns', 'KSE sets new record on strong fundamentals']",Market,Stock Market
5/4/2007,"['KSE to buy data warehouse', 'KSE index consolidates above 12,400 level']",Market,Stock Market
5/5/2007,"['KSE scales new peak above 12,500 level']",Market,Stock Market
5/6/2007,['KSE sets record as foreign funds grab 30pc of free float'],Market,Stock Market
5/8/2007,['KSE goes into a tailspin'],Market,Stock Market
5/10/2007,['KSE extends recovery gains 61 points'],Market,Stock Market
5/12/2007,"['KSE consolidates above 12,350 points level']",Market,Stock Market
5/13/2007,['KSE records modest fall on technical correction'],Market,Stock Market
5/15/2007,"['Institutions, foreign funds cushion KSE fall']",Market,Stock Market
5/17/2007,"['Shaukat Tarin elected KSE chairman', 'Institutional support fails to stop KSE plunge']",Market,Stock Market
5/20/2007,['Institutional buying cushions KSE fall'],Market,Stock Market
5/22/2007,"['KSE index falls below 12,300 level on technical selling']",Market,Stock Market
5/23/2007,"['KSE up on foreign, institutional support']",Market,Stock Market
5/25/2007,['Emboldened investors push KSE to new heights'],Market,Stock Market
5/27/2007,"['KSE at all-time high, profit-taking expected']",Market,Stock Market
5/29/2007,['KSE further up on buying in cement stocks'],Market,Stock Market
5/30/2007,['Technical correction hits KSE'],Market,Stock Market
5/31/2007,"['Profit-taking erases early gains on KSE', 'KSE likely to be re-rated']",Market,Stock Market
6/1/2007,"['Buying spree continues, KSE near 13,000 mark']",Market,Stock Market
6/2/2007,"['KSE closes 27 points lower after crossing 13,000 mark']",Market,Stock Market
6/6/2007,"['KSE gains 209 points to breeze past 13,000 barrier']",Market,Stock Market
6/7/2007,"['KSE-100 consolidates above 13,000 level with 45 points gain']",Market,Stock Market
6/8/2007,"['KSE-100 hovers above 13,000-level, gains 25.58 points']",Market,Stock Market
6/12/2007,['KSE-100 closes with marginal losses'],Market,Stock Market
6/13/2007,['KSE-100 sets historical record'],Market,Stock Market
6/14/2007,"['KSE breaks fresh ground, moves beyond 13,400 level']",Market,Stock Market
6/15/2007,['Profit-taking trims early gains at KSE'],Market,Stock Market
6/19/2007,"['KSE crosses 13,500 level on buying in oil, gas sector']",Market,Stock Market
6/21/2007,['KSE up on buying in banking scrips'],Market,Stock Market
6/22/2007,['Volatile KSE closes with marginal losses'],Market,Stock Market
6/23/2007,['PSO sell off delay fuels bearish drive at KSE'],Market,Stock Market
6/26/2007,"['Cement, banking, oil scrips push KSE up by 147 points', 'Range bound activity witnessed at KSE']",Market,Stock Market
6/27/2007,['Range bound activity witnessed at KSE'],Market,Stock Market
6/28/2007,"['Foreign, institutional buying pushes KSE to new highs']",Market,Stock Market
6/29/2007,['Karachi stocks extend gains'],Market,Stock Market
6/30/2007,['Karachi stocks conclude FY07 on bullish note'],Market,Stock Market
7/2/2007,['KSE-100 index continues upward journey'],Market,Stock Market
7/3/2007,['KSE-100 index continues upward journey'],Market,Stock Market
7/6/2007,"['KSE-100 closes near 14,000 points']",Market,Stock Market
7/7/2007,"['KSE-100 index hovers near 14,000 points']",Market,Stock Market
7/10/2007,"['KSE-100 breaches 14,000-point psychological barrier']",Market,Stock Market
7/11/2007,['KSE-100 index plunges 102 points'],Market,Stock Market
7/13/2007,['KSE-100 share index at record high'],Market,Stock Market
7/14/2007,['KSE-100 at record high for second consecutive day'],Market,Stock Market
7/17/2007,['KSE 100-share index plunges 257 points'],Market,Stock Market
7/18/2007,"['Europe, ME companies eye stake in KSE', 'Stock market stages recovery, KSE-100 up 109 points']",Market,Stock Market
7/20/2007,['KSE records biggest fall of year'],Market,Stock Market
7/21/2007,['KSE recovers 158 points'],Market,Stock Market
7/24/2007,['KSE rebounds 308 points on healthy volume'],Market,Stock Market
7/25/2007,['KSE dips as investors book profit on available margins'],Market,Stock Market
7/26/2007,['Range-bound KSE closes with moderate gains'],Market,Stock Market
7/27/2007,['Rumour-based selling pares KSE gains'],Market,Stock Market
7/28/2007,['Range-bound KSE suffers marginal losses'],Market,Stock Market
7/31/2007,['Lacklustre KSE closes with marginal gains'],Market,Stock Market
8/1/2007,['KSE up 104 points on results-based rally'],Market,Stock Market
8/2/2007,['KSE reacts negatively to monetary policy'],Market,Stock Market
8/3/2007,['KSE rebounds on short-covering'],Market,Stock Market
8/4/2007,['Range-bound KSE ends with marginal losses'],Market,Stock Market
8/5/2007,"['KSE demutualisation by year-end', 'KSE 100-share index gains 133 points']",Market,Stock Market
8/7/2007,['KSE-100 dips 252.57 points on selling pressure'],Market,Stock Market
8/8/2007,['KSE capitalisation falls Rs96bn in two days'],Market,Stock Market
8/9/2007,['KSE recovers 130 points on institutional buying'],Market,Stock Market
8/10/2007,['KSE sets record fall of 358 points in a day'],Market,Stock Market
8/14/2007,['KSE down 264 points as foreign funds offload on political uncertainty'],Market,Stock Market
8/16/2007,['KSE records gains on short-covering in blue chips'],Market,Stock Market
8/17/2007,"['KSE follows global markets, dips 78 points']",Market,Stock Market
8/18/2007,['Range-bound KSE ends flat'],Market,Stock Market
8/21/2007,['Profit-taking pares earlier gains on KSE'],Market,Stock Market
8/23/2007,['KSE-100 recovers 75.93 points'],Market,Stock Market
8/25/2007,['KSE gets new MD'],Market,Stock Market
8/28/2007,"['KSE falls 98 points on selling in oil scrips', 'Borse Dubai eyes KSE']",Market,Stock Market
8/29/2007,['Two more names for KSE MD -sent to SECP'],Market,Stock Market
8/31/2007,"['SECP yet to appoint MD KSE', 'Bullish trend prevails, KSE gains 137 points', 'KSE to launch index futures']",Market,Stock Market
9/1/2007,['KSE falls 152 points as investors book profit'],Market,Stock Market
9/4/2007,['Buying at dips helps pare losses on KSE'],Market,Stock Market
9/6/2007,['KSE jumps 271 points on deal euphoria'],Market,Stock Market
9/7/2007,['KSE falls 96 points on profit-taking'],Market,Stock Market
9/8/2007,['Nawaz expected arrival triggers offloading on KSE'],Market,Stock Market
9/12/2007,['KSE closes with moderate gains after a volatile session'],Market,Stock Market
9/15/2007,['Profit-taking pushes KSE-100 index down 84 points'],Market,Stock Market
9/16/2007,['KSE gains 3pc on rally in E&P sector'],Market,Stock Market
9/21/2007,"['SECP finally appoints Adnan Afridi KSE MD', 'KSE-100 recomposed', 'FTSE, S&P reports trigger offloading on KSE']",Market,Stock Market
9/22/2007,['KSE approves HBL listing'],Market,Stock Market
10/2/2007,['KSE jumps 387 points to welcome pro-Musharraf decision'],Market,Stock Market
10/3/2007,"['KSE near 14,000 barrier as stocks attract fresh funds']",Market,Stock Market
10/6/2007,['KSE fails to sustain record high on profit-taking'],Market,Stock Market
10/7/2007,['Bulls in control of KSE as political uncertainty ends'],Market,Stock Market
10/9/2007,"['KSE sets new record, zooms to 14,300 points', 'KSE, SECP agree on demutualisation']",Market,Stock Market
10/10/2007,['KSE-100 index hits another record high on selective buying'],Market,Stock Market
10/12/2007,['Last minute buying minimises losses on KSE'],Market,Stock Market
10/14/2007,"['KSE-100 jumps 1,600 points in Ramazan']",Market,Stock Market
10/18/2007,['Optimistic investors push KSE to new high ahead of Benazir’s return'],Market,Stock Market
10/19/2007,['Investors push KSE to new high amid positive political outlook'],Market,Stock Market
10/20/2007,"['KSE sways both ways, closes with moderate gains']",Market,Stock Market
10/21/2007,"['Institutional, foreign buying place KSE on record high']",Market,Stock Market
10/23/2007,"['46-floor KSE Tower project approved', 'Profit-selling pushes KSE into consolidation phase']",Market,Stock Market
10/24/2007,['Short-covering pares earlier losses on KSE'],Market,Stock Market
10/27/2007,['KSE gains 89 points on selective buying'],Market,Stock Market
10/28/2007,['KSE down 2.3pc on profit-selling amid results season'],Market,Stock Market
10/30/2007,['KSE sheds 56 points on technical correction'],Market,Stock Market
10/31/2007,['KSE plunges 366 points on panic selling'],Market,Stock Market
11/1/2007,"['KSE demutualisation biggest challenge for its new MD', 'KSE rebounds 292 points as discounts lure buyers']",Market,Stock Market
11/2/2007,"['KSE dips below 14,000 mark on panic selling']",Market,Stock Market
11/3/2007,['KSE improves after panic selling'],Market,Stock Market
11/6/2007,['Worst-ever single day slump in KSE history'],Market,Stock Market
11/7/2007,['KSE regains 147 points on institutional support crutches'],Market,Stock Market
11/8/2007,['Selective buying in oil scrips allows modest gains on KSE'],Market,Stock Market
11/9/2007,['Foreign investors offload holdings on KSE'],Market,Stock Market
11/11/2007,['KSE down 3.5pc as emergency scares away investors'],Market,Stock Market
11/13/2007,['Institutional buying helps KSE recover 232 points'],Market,Stock Market
11/14/2007,['KSE falls as investors become cautious on political situation'],Market,Stock Market
11/15/2007,['Political situation scares away investors from KSE'],Market,Stock Market
